id,key,ref_id,language,text
1,niveau,1,fr,Classe indéfinie
2,niveau,2,fr,Grande Section
3,niveau,3,fr,CP
4,niveau,4,fr,CE1
5,niveau,5,fr,CE2
6,niveau,6,fr,CM1
7,niveau,7,fr,CM2
8,niveau,1,de,Unbestimmte Klasse
9,niveau,2,de,Große Kindergartenabteilung
10,niveau,3,de,CP
11,niveau,4,de,E1
12,niveau,5,de,E2
13,niveau,6,de,M1
14,niveau,7,de,M2
15,niveau,1,en,Undefined Class
16,niveau,2,en,Large Kindergarten Section
17,niveau,3,en,CP
18,niveau,4,en,E1
19,niveau,5,en,E2
20,niveau,6,en,M1
21,niveau,7,en,M2
22,niveau,1,bz,Renk amspisaet
23,niveau,2,bz,Rann vras (GS)
24,niveau,3,bz,CP
25,niveau,4,bz,E1
26,niveau,5,bz,E2
27,niveau,6,bz,M1
28,niveau,7,bz,M2
29,annee,1,fr,Actif depuis 2024
30,annee,1,de,Seit 2024 aktiv
31,annee,1,en,Active since 2024
32,annee,1,bz,Oberiant abaoe 2024
33,etape,1,fr,Étape par défaut
34,etape,1,de,Standardstufe
35,etape,1,en,Default stage
36,etape,1,bz,Pazenn dre ziouer
37,etape,2,fr,Étape repère
38,etape,2,de,Referenzstufe
39,etape,2,en,Reference stage
40,etape,2,bz,Pazenn dave
41,etape,3,fr,Point Étape
42,etape,3,de,Zwischenstufe
43,etape,3,en,Intermediate stage
44,etape,3,bz,Pazenn etre daou
45,etape,4,fr,Bilan fin d'année
46,etape,4,de,Jahresendbilanz
47,etape,4,en,End-of-year review
48,etape,4,bz,Devezh fin bloaz
49,catalogue,1,fr,CP Point Repere Mathematiques 24-25
50,catalogue,2,fr,CP Point Etape Mathematiques 24-25
51,catalogue,3,fr,CP Bilan Fin annee Mathematiques 24-25
52,catalogue,4,fr,E1 Point Repere Mathematiques 24-25
53,catalogue,5,fr,E1 Point Etape Mathematiques 24-25
54,catalogue,6,fr,E1 Bilan Fin annee Mathematiques 24-25
55,catalogue,7,fr,E2 Point Repere Mathematiques 24-25
56,catalogue,8,fr,E2 Point Etape Mathematiques 24-25
57,catalogue,9,fr,E2 Bilan Fin annee Mathematiques 24-25
58,catalogue,10,fr,M1 Point Repere Mathematiques 24-25
59,catalogue,11,fr,M1 Point Etape Mathematiques 24-25
60,catalogue,12,fr,M1 Bilan Fin annee Mathematiques 24-25
61,catalogue,13,fr,M2 Point Repere Mathematiques 24-25
62,catalogue,14,fr,M2 Point Etape Mathematiques 24-25
63,catalogue,15,fr,M2 Bilan Fin annee Mathematiques 24-25
64,catalogue,16,fr,CP Point Repere Francais 24-25
65,catalogue,17,fr,CP Point Etape Francais 24-25
66,catalogue,18,fr,CP Bilan Fin annee Francais 24-25
67,catalogue,19,fr,E1 Point Repere Francais 24-25
68,catalogue,20,fr,E1 Point Etape Francais 24-25
69,catalogue,21,fr,E1 Bilan Fin annee Francais 24-25
70,catalogue,22,fr,E2 Point Repere Francais 24-25
71,catalogue,23,fr,E2 Point Etape Francais 24-25
72,catalogue,24,fr,E2 Bilan Fin annee Francais 24-25
73,catalogue,25,fr,M1 Point Repere Francais 24-25
74,catalogue,26,fr,M1 Point Etape Francais 24-25
75,catalogue,27,fr,M1 Bilan Fin annee Francais 24-25
76,catalogue,28,fr,M2 Point Repere Francais 24-25
77,catalogue,29,fr,M2 Point Etape Francais 24-25
78,catalogue,30,fr,M2 Bilan Fin annee Francais 24-25
79,catalogue,31,fr,GS Point Repere - VERSION DETAILLEE
80,catalogue,32,fr,GS Point Etape - VERSION DETAILLEE
81,catalogue,33,fr,GS Point Repere - VERSION RAPIDE
82,catalogue,34,fr,Grande Section Maternelle
83,catalogue,35,fr,CP Test Mathematiques initial
84,catalogue,36,fr,CP Test Language initial
85,catalogue,34,en,Kindergarten Final Year
86,catalogue,34,de,Große Vorschulstufe
87,catalogue,34,bz,Rann vras Maternelle
88,catalogue,35,en,CP Initial Mathematics Test
89,catalogue,35,de,CP Einstufungstest Mathematik
90,catalogue,35,bz,CP Test Mathematiques initial
91,catalogue,36,en,CP Initial Language Test
92,catalogue,36,de,CP Einstufungstest Sprache
93,catalogue,36,bz,CP Test Language initial
94,groupagedata,1,fr,évaluation repères CP : Comprendre des mots
95,groupagedata,2,fr,évaluation repères CP : Comprendre des phrases
96,groupagedata,3,fr,évaluation repères CP : Comprendre un texte
97,groupagedata,4,fr,évaluation repères CP : Connaître le nom des lettres
98,groupagedata,5,fr,évaluation repères CP : Manipuler des phonèmes
99,groupagedata,6,fr,évaluation repères CP : Manipuler des syllabes
100,groupagedata,7,fr,évaluation repères CP : Reconnaître des lettres
101,groupagedata,8,fr,évaluation repères CP : Comparer des nombres
102,groupagedata,9,fr,évaluation repères CP : Compter des objets
103,groupagedata,10,fr,évaluation repères CP : Écrire des nombres
104,groupagedata,11,fr,évaluation repères CP : Lire des nombres
105,groupagedata,12,fr,évaluation repères CP : Placer un nombre sur une ligne graduée
106,groupagedata,13,fr,évaluation repères CP : Résoudre les problèmes
107,groupagedata,14,fr,évaluation repères CP : Résoudre un problème en géométrie
108,groupagedata,15,fr,évaluation Point d'étape : Comprendre des phrases lues seul
109,groupagedata,16,fr,évaluation Point d'étape : Comprendre des phrases
110,groupagedata,17,fr,évaluation Point d'étape : Connaître le nom des lettres
111,groupagedata,18,fr,évaluation Point d'étape : Écrire des mots
112,groupagedata,19,fr,évaluation Point d'étape : Écrire des syllabes
113,groupagedata,20,fr,évaluation Point d'étape : Lire à voix haute des mots
114,groupagedata,21,fr,évaluation Point d'étape : Lire à voix haute un texte
115,groupagedata,22,fr,évaluation Point d'étape :  Manipuler des phonèmes
116,groupagedata,23,fr,évaluation Point d'étape CP : Additionner
117,groupagedata,24,fr,évaluation Point d'étape CP : Comparer des nombres
118,groupagedata,25,fr,évaluation Point d'étape CP : Écrire des nombres
119,groupagedata,26,fr,évaluation Point d'étape CP : Placer un nombre sur une ligne graduée
120,groupagedata,27,fr,évaluation Point d'étape CP : Résoudre des problèmes
